Device Type	Instrument Type	Fixture ID	__OldInstType	__GoboData	__ColorData	__ColorFlagData	Fixture Mode	__OldFixtureMode	__VisionLitOverride	__VisionFixtureName	__GDTFFixtureMode	__GDTFFixtureTypeID	Wattage	Purpose	Position	Unit Number	Color	Dimmer	Channel	Address	Universe	U Address	Circuit Number	Circuit Name	System	User Field 1	User Field 2	User Field 3	User Field 4	User Field 5	User Field 6	Voltage	BreakerID	Time	Cost	Num Channels	Frame Size	Field Angle	Field Angle 2	Beam Angle	Beam Angle 2	Weight	Gobo 1	Gobo 1 Rotation	Gobo 2	Gobo 2 Rotation	Gobo Shift	Mark	Draw Beam	Draw Beam as 3D Solid	Use Vertical Beam	Show Beam at	Falloff Distance	Lamp Rotation Angle	Top Shutter Depth	Top Shutter Angle	Left Shutter Depth	Left Shutter Angle	Right Shutter Depth	Right Shutter Angle	Bottom Shutter Depth	Bottom Shutter Angle	Symbol Name	Use Legend	3D Legend View	Flip Top & Bottom 3D Legend	Flip Left & Right 3D Legend	Rotate 3D Legend with Z Rotation	Flip Front & Back 2D Legend	Flip Left & Right 2D Legend	Focus	Set 3D Orientation	X Rotation	Y Rotation	Enable Z Rotation	Z Rotation	Vertical Focus Angle	Horizontal Focus Angle	Angle To Face	Off Axis Angle	Throw Distance	__Ganged With	X Location	Y Location	Z Location	__UID	Accessories
Light	S4 PAR WFL	-	-	-	-	-	Unknown	Unknown	False	-	-	0	575W	Cool Backlight	2nd Elec	10	R83	-	85	-	-	-	-	-	-	-	-	-	-	-	-	0	-	0	0	1	7.5"	37.00°	17.00°	20.00°	12.00°	7.5lbs	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	5'0"	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	Source 4 PAR WFL	Back	None	False	False	False	False	False	-	False	0	0	False	0	0	0	0	0	0	-	-78'5.322"	9'2.733"	0"	2139.1.1.0.0	-
Light	S4 PAR WFL	-	-	-	-	-	Unknown	Unknown	False	-	-	0	575W	Cool Backlight	6th Elec	8	R83	-	93	-	-	-	-	8	-	-	-	-	-	-	-	0	-	0	0	1	7.5"	37.00°	17.00°	20.00°	12.00°	7.5lbs	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	5'0"	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	Source 4 PAR WFL	Back	None	False	False	False	False	False	-	False	0	0	False	0	0	0	0	0	0	-	-78'6.324"	18'11"	0"	2140.1.1.0.0	-
Light	S4 PAR WFL	-	-	-	-	-	Unknown	Unknown	False	-	-	0	575W	Cool Backlight	4th Elec	14	R83	-	90	-	-	-	-	-	-	-	-	-	-	-	-	0	-	0	0	1	7.5"	37.00°	17.00°	20.00°	12.00°	7.5lbs	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	5'0"	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	Source 4 PAR WFL	Back	None	False	False	False	False	False	-	False	0	0	False	0	0	0	0	0	0	-	-74'.292"	13'11"	0"	2141.1.1.0.0	-
Light	S4 PAR WFL	-	-	-	-	-	Unknown	Unknown	False	-	-	0	575W	Cool Backlight	2nd Elec	2	R83	-	81	-	-	-	-	-	-	-	-	-	-	-	-	0	-	0	0	1	7.5"	37.00°	17.00°	20.00°	12.00°	7.5lbs	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	5'0"	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	Source 4 PAR WFL	Back	None	False	False	False	False	False	-	False	0	0	False	0	0	0	0	0	0	-	-96'6.13"	9'2.733"	0"	2142.1.1.0.0	-
Light	S4 PAR WFL	-	-	-	-	-	Unknown	Unknown	False	-	-	0	575W	Cool Backlight	2nd Elec	8	R83	-	84	-	-	-	-	-	-	-	-	-	-	-	-	0	-	0	0	1	7.5"	37.00°	17.00°	20.00°	12.00°	7.5lbs	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	5'0"	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	Source 4 PAR WFL	Back	None	False	False	False	False	False	-	False	0	0	False	0	0	0	0	0	0	-	-83'.186"	9'2.733"	0"	2143.1.1.0.0	-
Light	S4 PAR WFL	-	-	-	-	-	Unknown	Unknown	False	-	-	0	575W	Cool Backlight	4th Elec	4	R83	-	87	-	-	-	-	-	-	-	-	-	-	-	-	0	-	0	0	1	7.5"	37.00°	17.00°	20.00°	12.00°	7.5lbs	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	5'0"	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	Source 4 PAR WFL	Back	None	False	False	False	False	False	-	False	0	0	False	0	0	0	0	0	0	-	-92'.149"	13'11"	0"	2144.1.1.0.0	-
Light	S4 PAR WFL	-	-	-	-	-	Unknown	Unknown	False	-	-	0	575W	Cool Backlight	2nd Elec	4	R83	-	82	-	-	-	-	-	-	-	-	-	-	-	-	0	-	0	0	1	7.5"	37.00°	17.00°	20.00°	12.00°	7.5lbs	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	5'0"	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	Source 4 PAR WFL	Back	None	False	False	False	False	False	-	False	0	0	False	0	0	0	0	0	0	-	-92'.149"	9'2.733"	0"	2145.1.1.0.0	-
Light	S4 PAR WFL	-	-	-	-	-	Unknown	Unknown	False	-	-	0	575W	Cool Backlight	2nd Elec	12	R83	-	86	-	-	-	-	-	-	-	-	-	-	-	-	0	-	0	0	1	7.5"	37.00°	17.00°	20.00°	12.00°	7.5lbs	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	5'0"	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	Source 4 PAR WFL	Back	None	False	False	False	False	False	-	False	0	0	False	0	0	0	0	0	0	-	-74'.619"	9'2.733"	0"	2146.1.1.0.0	-
Light	S4 PAR WFL	-	-	-	-	-	Unknown	Unknown	False	-	-	0	575W	Cool Backlight	5th Elec	10	R83	-	94	-	-	-	-	-	-	-	-	-	-	-	-	0	-	0	0	1	7.5"	37.00°	17.00°	20.00°	12.00°	7.5lbs	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	5'0"	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	Source 4 PAR WFL	Back	None	False	False	False	False	False	-	False	0	0	False	0	0	0	0	0	0	-	-82'10.591"	16'7 1/2"	0"	2147.1.1.0.0	-
Light	S4 PAR WFL	-	-	-	-	-	Unknown	Unknown	False	-	-	0	575W	Cool Backlight	4th Elec	10	R83	-	89	-	-	-	-	-	-	-	-	-	-	-	-	0	-	0	0	1	7.5"	37.00°	17.00°	20.00°	12.00°	7.5lbs	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	5'0"	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	Source 4 PAR WFL	Back	None	False	False	False	False	False	-	False	0	0	False	0	0	0	0	0	0	-	-80'.659"	13'11"	0"	2148.1.1.0.0	-
